Collection/Population Locality,SpecimenNumber,Notes,IntCal13 (CAL BP),C14 years BP,Cal Age (ka),Age Error,Age bound (lower),Age bound (upper),Lat,Long,Elevation (ASL) m,GISP2 Temp (IntCal13),Temp Err (lower),Temp Err (upper),Temp err,Genus,Species,SpeciesID,GL,DstL,DstBr,DstDp,GBr,GDp
WICA,422F7A5179,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,151.3,100,34,38,48,56
WICA,AVID*074*597*636,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,143,97.9,42,40,53,54
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,140,90,34,35,45,51
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,139,88,32,37,45,51
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,169,109,43,44,60,60
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,172,114,45,47,62,60
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,152,99,42,39,50,55
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,154,100,39,44,54,59
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,168,111,40,42,58,60
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,144,90,35,37,48,50
WICA,,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,139,88,34,36,48,50
ETVP - Arizona,2757,"Martin, Unpub",0,0,0,0,0,0,35.8,-111.8,2124,-29.9,-29.9,-29.9,0,Bison,bison,1,151.3,90.8,35.6,41.8,41.9,56.8
ETVP - WICA,2802,"Martin, Unpub",0,0,0,0,0,0,43.5,-103.5,1276,-29.9,-29.9,-29.9,0,Bison,bison,1,167.8,94.5,43.3,49.5,53.4,62.7
ETVP - YELL,7535,"Martin, Unpub",0,0,0,0,0,0,44.6,-110.5,2564,-29.9,-29.9,-29.9,0,Bison,bison,1,152.3,88.1,38.1,40.3,42.4,61
Modern - Ranch in WY,8330B,,0,0,0,0,0,0,41.3,-105.5,2200,-29.9,-29.9,-29.9,0,Bison,bison,1,160,105.6,42,46,57,68
Modern - Ranch in WY,8330B,,0,0,0,0,0,0,41.3,-105.5,2200,-29.9,-29.9,-29.9,0,Bison,bison,1,160,106.1,42,46,55,67
Modern - Ranch in WY,8331B,,0,0,0,0,0,0,41.3,-105.5,2200,-29.9,-29.9,-29.9,0,Bison,bison,1,135,88.8,35,34,46,53
