,elev,long,lat,temp,dstl,mass
1,1276,-103.5,43.5,-29.9,100,669.6707171
2,1276,-103.5,43.5,-29.9,97.9,628.3612345
3,1276,-103.5,43.5,-29.9,90,488.1899528
4,1276,-103.5,43.5,-29.9,88,456.3618429
5,1276,-103.5,43.5,-29.9,109,867.2429991
6,1276,-103.5,43.5,-29.9,114,992.1466329
7,1276,-103.5,43.5,-29.9,99,649.7808271
8,1276,-103.5,43.5,-29.9,100,669.6707171
9,1276,-103.5,43.5,-29.9,111,915.8624325
10,1276,-103.5,43.5,-29.9,90,488.1899528
11,1276,-103.5,43.5,-29.9,88,456.3618429
12,2124,-111.8,35.8,-29.9,90.8,501.3244135
13,1276,-103.5,43.5,-29.9,94.5,565.1408941
14,2564,-110.5,44.6,-29.9,88.1,457.9193905
15,2200,-105.5,41.3,-29.9,105.6,788.5932646
16,2200,-105.5,41.3,-29.9,106.1,799.8479951
17,2200,-105.5,41.3,-29.9,88.8,468.9215654
18,2200,-105.5,41.3,-29.9,89.6,481.7096403
19,2200,-105.5,41.3,-29.9,96.8,607.4176129
20,2200,-105.5,41.3,-29.9,94.4,563.3486938
21,2200,-105.5,41.3,-29.9,96.6,603.6604013
22,2200,-105.5,41.3,-29.9,97,611.1903824
23,2200,-105.5,41.3,-29.9,96.8,607.4176129
24,2200,-105.5,41.3,-29.9,95.5,583.2723961
25,2200,-105.5,41.3,-29.9,93.1,540.3937926
26,2200,-105.5,41.3,-29.9,105.6,788.5932646
27,2200,-105.5,41.3,-29.9,102.5,721.1621171
28,2200,-105.5,41.3,-29.9,101.7,704.4078183
29,2200,-105.5,41.3,-29.9,99.4,657.688824
30,2200,-105.5,41.3,-29.9,95.1,575.9739738
31,2200,-105.5,41.3,-29.9,93.3,543.8839463
32,2200,-105.5,41.3,-29.9,97.7,624.5180572
33,2200,-105.5,41.3,-29.9,97.4,618.7827232
35,2200,-105.5,41.3,-29.9,94.9,572.3477055
36,2200,-105.5,41.3,-29.9,96.2,596.1925227
37,2200,-105.5,41.3,-29.9,96.9,609.3020509
38,2200,-105.5,41.3,-29.9,99.4,657.688824
39,2200,-105.5,41.3,-29.9,99.5,659.6757979
40,2200,-105.5,41.3,-29.9,100.5,679.7660869
41,2200,-105.5,41.3,-29.9,100.9,687.9150446
42,1557,-111.6,35.9,-29.9,82,369.2350039
43,1557,-111.6,35.9,-29.9,80.6,350.644018
44,1557,-111.6,35.9,-29.9,76.1,295.1313056
45,904,-100.9,38.5,-32,93.8,552.6750051
46,904,-100.9,38.5,-32,105.1,777.4446099
47,904,-100.9,38.5,-32,92.1,523.1668282
48,904,-100.9,38.5,-32,102.3,716.9489119
49,1643,-105.9,42.8,-32,57.4,126.6476064
134,1643,-105.9,42.8,-32,77.7,314.1408143
135,1643,-105.9,42.8,-32,77.6,312.9294758
136,1643,-105.9,42.8,-32,83.7,392.6790058
137,1643,-105.9,42.8,-32,83.9,395.5006406
138,1643,-105.9,42.8,-32,73.6,266.9898503
139,1643,-105.9,42.8,-32,77,305.7267815
140,1643,-105.9,42.8,-32,71,239.682516
141,1643,-105.9,42.8,-32,73.5,265.9030544
142,1643,-105.9,42.8,-32,74,271.3666467
143,1643,-105.9,42.8,-32,79,330.1737807
144,1643,-105.9,42.8,-32,73.1,261.5853632
145,1643,-105.9,42.8,-32,81.6,363.8578802
146,1643,-105.9,42.8,-32,78.7,326.4265732
147,1643,-105.9,42.8,-32,78.9,328.9215426
148,1643,-105.9,42.8,-32,81,355.8904756
149,1643,-105.9,42.8,-32,76.9,304.5371844
150,1643,-105.9,42.8,-32,84,396.9165127
151,1643,-105.9,42.8,-32,63.5,171.4677641
152,1643,-105.9,42.8,-32,80.9,354.5739893
153,1643,-105.9,42.8,-32,70.4,233.6572636
154,1643,-105.9,42.8,-32,71.6,245.8104692
155,1643,-105.9,42.8,-32,73.9,270.2679976
156,1643,-105.9,42.8,-32,80.5,349.34051
158,1643,-105.9,42.8,-32,73.7,268.0796034
159,1643,-105.9,42.8,-32,84.7,406.9223462
160,1643,-105.9,42.8,-32,75.4,287.0617621
161,1643,-105.9,42.8,-32,77.5,311.7212552
